调	diào	tone	tune, tone	4
深	shēn	senk	deep	4
华	huá	huge	magnificent; China	4
示	shì	show	show, reveal	4
复	fù	further	again, repeat	4
似	sì	seem	seem, similar	4
视	shì	see	look at, regard	4
器	qì	gear	device, tool	4
写	xiě	schreib	write	4
包	bāo	bag	wrap, bag	4
片	piàn	plane / plank	slice, sheet	4
委	wěi	waive	give up; commission	4
查	chá	check	check, investigate	5
易	yì	easy	easy; change	4
首	shǒu	Schopf	head, first	4
武	wǔ	war	martial	4
土	tǔ	terra	earth, soil	4
投	tóu	toss	throw	4
革	gé	gerb	leather	4
律	lǜ	law	law	4
够	gòu	good	enough	4
跟	gēn	gehn	follow, with	4
留	liú	leave	remain, leave	4
紧	jǐn	eng	tight	4
奇	qí	queer	strange	4
察	chá	check	examine	4
米	mǐ	meter / millet	rice; meter	4
江	jiāng	Ganges	river	4
客	kè	guest	guest	4
父	fù	father	father	4
仍	réng	remaining	still, remain	4
男	nán	man	male	4
帝	dì	dei / deus	emperor	4
职	zhí	Schicht	office, duty	4
刻	kè	cut / quarter	carve; quarter hour	4
普	pǔ	popular	general, universal	4
苦	kǔ	Qual	bitter, suffering	4
拿	ná	nehm	take, hold	4
脑	nǎo	nous	brain	4
谁	shéi	say who?	who	4
微	wēi	wenig	tiny, micro	4
尼	ní	nun	Buddhist nun	4
送	sòng	send	deliver, give	4
适	shì	suit	fit, suit	4
卫	wèi	Wehr	guard, defend	4
待	dài	stay / delay	wait, stay; treat	4
福	fú	fortune	good fortune	4
纳	nà	nehm	accept, receive	4
模	mó	mold / model	model, mold	5
龙	lóng	long	dragon	4
射	shè	shoot	shoot	4
策	cè	scheme	plan, policy	4
卡	kǎ	card	card; block	5
皮	pí	pelt	skin, leather	4
挥	huī	wisch	wave, wield	4
善	shàn	schön	good	4
妈	mā	mama	mother	5
买	mǎi	market	buy	4
养	yǎng	young / jungen	raise, keep	4
抗	kàng	Kampf	resist, fight	4
帮	bāng	Bande	help; gang	4
香	xiāng	incense	fragrant, incense	4
背	bèi	back	back, carry on the back	4
守	shǒu	Schutz	guard	4
托	tuō	trust	entrust, hold up	4
顾	gù	guck	look after	4
忙	máng	Mangel (Zeit)	busy	4
掉	diào	down	drop, fall	4
吉	jí	joy	lucky	4
编	biān	bind / band	weave, compile	4
败	bài	beaten	defeat	4
屋	wū	wohn	house, room	4
温	wēn	warm	warm	5
楼	lóu	Louvre	building, storey	4
班	bān	band	team, class, shift	4
耳	ěr	ear	ear	5
恐	kǒng	Angst	fear	4
席	xí	sit	seat, mat	4
秘	mì	mimi	secret	4
密	mì	mimi	secret, dense	4
藏	cáng	conceal	hide	4
剧	jù	jeu / joy	drama, play	4
巨	jù	giant / huge	huge	4
督	dū	Duce	supervise	4
毒	dú	dose / toxin	poison	4
油	yóu	oil	oil	4
笔	bǐ	pen	pen	4
圣	shèng	Sankt	holy, saint	4
择	zé	select	choose	4
卖	mài	market	sell	4
园	yuán	yard / garden	garden	4
荣	róng	rank / Rang	glory, honor	4
肉	ròu	raw (meat)	meat	4
洞	dòng	dunkel	cave, hole	4
牛	niú	gnu	ox, cow	5
丝	sī	silk	silk, thread	4
鬼	guǐ	ghoul / guile	ghost; crafty	4
盘	pán	pan	tray, dish	5
爸	bà	baba	dad	5
姆	mǔ	mother / mum	governess, nanny	4
刀	dāo	dagger / Dolch	knife	4
透	tòu	through	penetrate, thorough	4
购	gòu	Kauf	buy	4
迅	xùn	schnell	rapid	4
贸	mào	market	trade	4
轮	lún	rund	wheel, turn	4
伟	wěi	weit / wide	great, big	4
麻	má	marijuana	hemp; numb	5
忍	rěn	rendure / endure	endure	4
臣	chén	chancellor	minister, vassal	4
宇	yǔ	universe	universe	4
梅	méi	May flower	plum blossom	4
麦	mài	Mais	wheat	4
阻	zǔ	zu (blocked)	block, hinder	4
币	bì	bill	money, currency	4
蓝	lán	blau	blue	4
裁	cái	cut	cut out, trim	4
课	kè	course	lesson, class	4
懂	dǒng	denk	understand	4
拜	bài	pray / pay respect	worship, pay respect	4
冒	mào	Mütze	cover; brave	4
曼	màn	manly	handsome, graceful	4
犹	yóu	Jew	Jew; as if, still	4
挂	guà	Galgen	hang	4
障	zhàng	Schranke	obstruct, barrier	4
丈	zhàng	zehn (feet)	ten feet	4
爆	bào	boom	explode	4
唱	chàng	chant	sing	5
咱	zán	zusammen	we (inclusive)	4
茶	chá	chai	tea	5
狗	gǒu	kyon	dog	4
尾	wěi	Wedel	tail	4
奔	bēn	Bein	rush, run	4
孔	kǒng	Kuhle	hole	4
伴	bàn	Bande / bind	companion	4
闹	nào	noise	make noise	5
胞	bāo	Bauch	womb, placenta	4
零	líng	ring (0)	zero	4
腿	tuǐ	thigh	leg	4
贫	pín	poor	poor	4
赖	lài	rely	rely; blame	5
碰	pèng	peng!	bump, touch	4
冬	dōng	dunkel	winter	4
鸡	jī	chicken	chicken	4
盾	dùn	ducken	shield	4
乏	fá	fehl / fatigue	lacking; tired	4
悄	qiāo	quiet	quiet	4
扫	sǎo	säubern	sweep	4
迪	dí	direct	guide, enlighten	4
颗	kē	Kern / Kugel	measure word for small round things	4
赏	shǎng	schenk	reward, enjoy	4
贴	tiē	tie (to)	stick, paste	4
捞	lāo	langen	fish up, dredge	4
劳	láo	labor	toil	5
唠	láo	laber	chatter	5
勒	lēi	rein	rein in, strangle	4
乐	lè	laugh / Lied	happy, joy	4
哩	lī	mile	mile	5
厘	lí	milli	one thousandth, centi-	4
丽	lì	jolie	beautiful	4
里	lǐ	mile	Chinese mile; inside	4
理	lǐ	logic	reason, logic	4
礼	lǐ	rite	rite, gift	4
莉	lì	lily	jasmine	4
笠	lì	lid	bamboo rain hat	4
雳	lì	lightning	thunderclap	4
沥	lì	liquid	drip	4
荔	lì	litchi	litchi	5
连	lián	link	link, join	4
餐	cān	canteen	meal	4
扰	rǎo	Radau	disturb	4
绕	rào	round	go around	4
泥	ní	Nile (mud)	mud	4
媒	méi	medium	medium, matchmaker	4
堡	bǎo	Bau / Burg	castle, fort	4
频	pín	ping	frequency	4
搜	sōu	such	search	4
柔	róu	¬rauh (not rough)	soft	4
腐	fǔ	foul	rotten	5
幼	yòu	young	young	4
牧	mù	Muh	herd, shepherd	4
逻	luó	logic	logic; patrol	4
饰	shì	schick	adorn, ornament	4
沟	gōu	gutter	ditch	5
辉	huī	hell	bright	4
扣	kòu	Knopf	button; deduct	4
澳	ào	Australia	Australia; bay	4
吐	tǔ	ptu!	spit	4
弯	wān	wend / bend	bend	4
韦	wéi	weich	soft leather	4
猫	māo	miau	cat	5
沈	shěn	sink	sink	4
屈	qū	krumm / curved	bent; wronged	4
疼	téng	tingle	ache, hurt	4
仗	zhàng	Zank	battle	4
冠	guān	crown	crown, hat	4
抚	fǔ	Pfote	stroke, comfort	4
赔	péi	pay (damage)	compensate	4
涂	tú	Tusche / daub	smear, daub	4
怖	bù	Buh!	fear, terror	4
斜	xié	schief	slanting	4
豆	dòu	tofu	bean	4
伐	fá	fell / fäll	cut down	4
墓	mù	mort / mausoleum	tomb	4
瓜	guā	gourd	melon, gourd	4
霸	bà	boss / pasha	tyrant, overlord	4
址	zhǐ	site	site, location	4
酷	kù	cool	cool; cruel	5
辱	rǔ	rude	insult, disgrace	4
匹	pǐ	peer / pair	one of a pair; measure word for horses	4
忌	jì	jealous	jealous; taboo	4
聊	liáo	plauschen	chat	4
碗	wǎn	Wanne	bowl	4
航	háng	hangar	navigate, sail	4
毫	háo	Haar	hair; least	5
豪	háo	hero / huge	heroic, grand	4
嚎	háo	howl	howl	5
号	hào	howl	roar; number	4
何	hé	how?	what, how	4
禾	hé	hay	cereal crop	4
涸	hé	hay (dried)	dry up	4
鹤	hè	heron	crane	5
褐	hè	hemp	brown; hemp cloth	4
轰	hōng	honk / bang	boom, bang	4
喉	hóu	Hals	throat	4
候	hòu	hours	wait	4
忽	hū	huh!	suddenly	4
唬	hǔ	howl	tiger's roar; bluff	4
舌	shé	schleck	tongue	4
傲	ào	arrogant	proud, arrogant	4
饲	sì	silage	feed, raise	4
柴	chái	char	firewood	4
绳	shéng	Strang	rope	4
傻	shǎ	Schaf	foolish	5
饱	bǎo	Bauch	full (eaten)	4
爹	diē	daddy	dad	5
僧	sēng	Sankt	monk	4
畏	wèi	oh weh!	fear	4
羞	xiū	shy	shy, ashamed	4
斑	bān	bunt	spotted, variegated	4
卑	bēi	base	low, humble	4
勉	miǎn	mahnen	exhort	4
筒	tǒng	Tonne	tube, cylinder	5
誓	shì	swear	oath	4
匠	jiàng	engineer	craftsman	4
妮	nī	Nina	girl	4
吁	xū	hush	sigh; implore	4
摊	tān	stand	vendor's stand	4
伞	sǎn	sun (shade)	umbrella	4
菩	pú	Buddha	Bodhisattva	4
狮	shī	shir (Persian lion)	lion	4
抄	chāo	copy	copy	4
姊	zǐ	Sis	older sister	4
嚷	rǎng	rant	shout	4
躯	qū	Körper	body	4
舶	bó	boat	ship	4
砖	zhuān	Ziegel	brick	4
搏	bó	box	fight	4
咖	kā	coffee	coffee	5
姜	jiāng	ginger	ginger	4
罐	guàn	can	can, jar	4
糕	gāo	cake	cake	4
绑	bǎng	bind	tie, bind	4
裙	qún	gown	skirt	4
嘻	xī	hihi / giggle	giggle	4
哇	wa	waaa	wow; crying sound	4
杖	zhàng	Stange	cane, staff	4
塘	táng	Teich	pond	4
譬	pì	Beispiel	example	4
劈	pī	Beil	chop, split	4
嗓	sǎng	sing	throat, voice	4
蹲	dūn	down	squat	4
豹	bào	leopard	leopard	4
毙	bì	bye	die, kill	4
汁	zhī	juice	juice	4
诵	sòng	song	recite	4
笛	dí	flute	flute	4
垫	diàn	divan	cushion, pad	4
叮	dīng	sting	sting	4
黛	dài	dye	eyebrow dye, dark	5
晒	shài	shine	sun-dry, bask	4
逛	guàng	going	stroll	4
蹄	tí	toe	hoof	4
昼	zhòu	jour	daytime	4
陋	lòu	low	humble, ugly	4
垮	kuǎ	collapse	collapse	4
嫉	jí	jealous	jealousy	4
耘	yún	Unkraut	weed	4
澡	zǎo	sauber	bath	4
纬	wěi	Weite	latitude	4
叭	bā	ba! / bang	sharp noise	4
瞥	piē	peek	glance	4
砂	shā	Sand	sand, gravel	4
坪	píng	plain	flat ground	4
腥	xīng	stink	fishy smell	4
窥	kuī	kuck	peep	4
萎	wěi	wither	wither	4
挠	náo	nail	scratch	4
矢	shǐ	shoot	arrow	4
揉	róu	rub	knead, rub	4
碟	dié	dish	dish, plate	4
嘟	dū	duut / toot	toot, honk	4
簿	bù	book	register, notebook	4
啤	pí	beer	beer	5
嘎	gā	cackle	cackling sound	4
牟	móu	moo	moo; seek	4
喔	ō	oh	oh	4
砰	pēng	peng	crash, bang	4
帖	tiē	tight	fit snugly; card	4
叩	kòu	knock	knock	4
歹	dǎi	devil	evil	4
枉	wǎng	wrong / vain	in vain, wrong	4
窟	kū	Kuhle	cave, hole	4
磅	bàng	pound	pound (weight)	4
慑	shè	shiver	fear, intimidate	4
磕	kē	knock	knock, tap	4
淌	tǎng	Träne	shed (tears), drip	4
栅	zhà	Zaun	fence	4
涕	tì	tears	tears, snot	4
沧	cāng	cyan	blue-green (water)	4
氨	ān	ammonia	ammonia	4
唾	tuò	ptou!	spit, saliva	4
咦	yí	yiii!	expression of surprise	4
婢	bì	bitch	maidservant	4
酱	jiàng	jam	sauce, paste	4
赁	lìn	leihen	rent	4
铀	yóu	uranium	uranium	4
糙	cāo	coarse	rough, coarse	4
芭	bā	banana	banana plant	4
屉	tì	tier	drawer, tier	5
殆	dài	danger	dangerous; almost	4
髦	máo	mane	mane; fashionable	4
濒	bīn	beinah	near, on the verge	4
趾	zhǐ	Zeh	toe	4
瀑	pù	pour	waterfall	4
褂	guà	coat	coat	4
臀	tún	button (butt)	buttocks	4
巍	wēi	way high	towering	4
洼	wā	Weiher	hollow, swamp	4
炳	bǐng	bling	bright	4
矶	jī	jetty	jetty	4
辫	biàn	plait	braid	4
幌	huǎng	hanging sign	shop sign	4
绫	líng	linen	thin silk	4
榆	yú	Ulme	elm	4
勺	sháo	Schaufel	spoon, ladle	4
迸	bèng	beng!	burst forth	4
嗨	hāi	hey	hey; alas	4
咪	mī	miao	sound to call a cat	4
屎	shǐ	shit	feces	5
拭	shì	swipe	wipe	4
啃	kěn	gnaw	gnaw	4
柿	shì	persimmon	persimmon	4
骡	luó	mule	mule	4
筛	shāi	Sieb	sieve	4
肛	gāng	Ausgang	anus	5
胺	àn	amine	amine	4
埠	bù	port / Puerto	port, quay	4
噗	pū	puhaha	puff, splutter	4
岑	cén	cairn	small hill	4
掳	lǔ	Raub	take captive	4
呱	gū	guaaa	baby's cry	4
钠	nà	natrium	sodium	5
袄	ǎo	anorak	lined jacket	4
咀	jǔ	chew	chew	4
匾	biǎn	Planke	inscribed board	4
乓	pāng	bang	bang	5
秧	yāng	young	seedling	4
溉	gài	irrigate	irrigate	4
蘑	mó	mushroom	mushroom	4
锌	xīn	Zinn	zinc	4
揍	zòu	zuhau	beat up	4
吆	yāo	yell	shout	4
墩	dūn	dam / dune	mound, pier	4
悸	jì	jitter	palpitate, afraid	4
籽	zǐ	seed	seed	4
钵	bō	bowl	alms bowl	5
氖	nǎi	neon	neon	4
羔	gāo	goat	lamb, kid	4
刨	páo	plane	plane (tool)	4
瞟	piǎo	peek	glance	4
充	chōng	charging	fill, charge	4
瞅	chǒu	schau	look	4
川	chuān	channel	river	4
船	chuán	Schoner	boat	4
串	chuàn	chain	string together	4
辞	cí	ciao	bid farewell, resign	4
瓷	cí	China-ware	porcelain	4
粗	cū	crude	coarse	4
衰	shuāi	schwach	weak, decline	4
翠	cuì	cyan	bluish green	4
错	cuò	cross (✗)	wrong, mistake	4
刁	diāo	diabol	artful, wicked	4
碘	diǎn	iodine	iodine	4
啧	zé	zut!	click of the tongue	4
蜗	wō	worm	snail, slug	4
嗽	sòu	cough / sough	cough	4
随	suí	suivre	follow	5
绥	suí	soothe	pacify	4
隧	suì	sous / sub	tunnel	4
梭	suō	shuttle	shuttle	4
嗦	suō	saug / suck	suck	4
塔	tǎ	tower	tower, pagoda	5
塌	tā	tumble	collapse	4
台	tái	table	platform, stage	4
惦	diàn	denk	think of, miss	4
戍	shù	Schutz	garrison	4
鳄	è	alligator	crocodile	4
讹	é	error	error; extort	4
釜	fǔ	Fass	cauldron	4
钡	bèi	barium	barium	4
塾	shú	school	private school	4
呸	pēi	pfui!	pah! (spit in contempt)	5
瓮	wèng	Wanne	earthen jar	4
嚏	tì	hatschi	sneeze	4
酮	tóng	ketone	ketone	4
媲	pì	pair	match, pair	4
蜿	wān	wind	wriggle, wind	4
檬	méng	lemon	lemon	4
镁	měi	magnesium	magnesium	4
梆	bāng	bang!	watchman's rattle	4
茉	mò	jasmine	jasmine	4
醺	xūn	duhn	drunk	4
婊	biǎo	bitch	prostitute	4
