ء		 
ء ب د	'-b-d	abide bleib-
ث غ ر	ᵖṯ-ḡʳ-r	Tiger:stripes:gaps  𐎘𐎙𐎗 ṯġr 𒇵𒅈 (/šaʾāru/, “to vanquish”)
ث ف ر	ᵖṯ-ph-r	after:behind
ث ق ب	ᵖṯ-q-b	tick:stick:penetrate…
ث ق ل	ᵖṯ-q-ł	tank,dank:heavy
ث ل ج	ᵖṯ-ł-ʒ	{snow}
ث م ل	ᵖṯ-m-ł	{stay}
ث م م	ᵖṯ-m-m	mend
ث ن ي	ᵖṯ-n-y	twin 2. {fold}
ث و ب	ᵖṯ-ov-b	{return}
		 
ج	ʒ	 
ج ب ي	ʒ-b-y	Gabe:collect
ج ث م	ʒ-ᵖṯ-m	geht:yeet:{crouch,corpse,incubus}
ج ث و	ʒ-ᵖṯ-ov	geht:kniet
ج ح م	ʒ-h-m	charm (burn,fiery)
ج د د	ʒ-d-d	good:news חָדָשׁ‎ khadásh
ج د ل	ʒ-d-ł	jodel:Kordel:twist
ج ر ب	ʒ-r-b	jarab:scarab:scratch
ج ر ح	ʒ-r-h	scar
ج ر د	ʒ-r-d	scratch,scrap
ج ر ف	ʒ-r-ph	scrape:shovel,sweep
ج ز ع	ʒ-z-æ	cross
ج س ء	ʒ-s-ʾ	cross:stiff,callused
ج س س	ʒ-s-s	taste-
ج س م	ʒ-s-m	gross:{enlarge}
ج ع د	ʒ-æ-d	twist,crisp
ج ع ر	ʒ-æ-r	err:dung
ج ف ف	ʒ-ph-ph	stiff:dry
ج ل ب	ʒ-ł-b	arrib:bring,fetch
ج ل ب ب	ʒ-ł-b-b	'robe:dress
ج ل ح	ʒ-ł-h	ilk:bald
ج ل خ	ʒ-ł-ḵ	{grind}
ج ل س	ʒ-ł-s	lass:seat
ج ل ف	ʒ-ł-ph	
ج ل ل	ʒ-ł-ł	jalla hail EL elevated, lofty
ج ل و	ʒ-ł-ov	…
ج م ر	ʒ-m-r	summarize,sammel! collect
ج م ع	ʒ-m-æ	join,sammel
ج م ل	ʒ-m-ł	sammel 2. camel
ج ن ي	ʒ-n-y	join,syn:gather
ج ه د	ʒ-ι-d	Jud:geht:work  <> gather
ج ه ل	ʒ-ι-ł	𓐍 𓅓 𓂜 clueless
ج و ف	ʒ-ov-ph	{hollow} <> Kluft
ج ي ء	ʒ-y-ʾ	𓇍 #ỉỉ #jj jir:come
ج ي د	ʒ-y-d	ϧⲁϧ  𓄉 𓄈 𓄊 𓋭 𓅿 {neck}
ج ي ش	ʒ-y-š	force:army
		 
ح	h	 
ح ب ب	h-b-b	love  2. ع ب ب‎ ʿ-b-b Ebbe (swelling)
ح ب ر	h-b-r	hyper:fill,improve,^^  2. ink ?
ح ب س	h-b-s	habs:hold-back
ح ب ط	h-b-th	bad! worthless
ح ب ن	h-b-n	heben:swell  <> حَبَن‎ (ḥaban, “oleander”)
ح ج ب	h-ʒ-b	hide hidjab
ح ج ر	h-ʒ-r	häscher:catcher:detain
ح ج م	h-ʒ-m	^^
ح د ب	h-d-b	bend
ح د ث	h-d-ᵖṯ	hot,heute:news   ח־ד־ש‎ (ḥ-d-š) and Akkadian '-d-š. 
ح د ج	h-d-ʒ	hatch:load አድግ ʾädg, “ass, donkey” <> walk look
ح د و	h-d-ov	hott! {spur}
ح ذ ر	h-dh-r	cautioᵘˢ
ح ر ب	h-r-b	Heer, guerre
ح ر س	h-r-s	Heer, guard <> house
ح ر ش	h-r-š	scratch
ح ر ك	h-r-k	𓅃 track 𓅓 move
ح ر م	h-r-m	haram™
ح ز ب	h-z-b	hizbollah (clan)
ح ز م	h-z-m	zusam' {tie,bundle}
ح ز ن	h-z-n	kratzen خَشِنḵašin
ح س ب	ḥ-s-b	"guess, sophie ""count, think"""
ح س س	h-s-s	heiss:touch
ح س م	ḥ-s-m	chasm:cut
ح س ن	h-s-n	sane:gesund:good
ح ش د	ḥ-š-d	hosts:crowds
ح ش ر	ḥ-š-r	concentrate
ح ش ف	h-š-ph	
ح ش م	h-š-m	shame
ح ص ر	h-s-r	zerr:striction
ح ص ف	ḥ-s-ph	sophie
ح ص ل	h-s-ł	hustle ح ص ص‎ ḥ ṣ ṣ gather happen…
ح ص ن	ḥ-s-n	chasteᵒⁿ حِصْن‎ ḥiṣn
ح ص و	ḥ-s-ov	Kiesel ≈ ح ص ي ḥ-ṣ-y 
ح ص ي	ḥ-s-y	Kiesel hiss! <> Kreis 
ح ض ر	h-ᵇḍ-r	heute,dar:present
ح ض ض	h-ᵇḍ-ᵇḍ	hott,heita:urg
ح ض ن	h-ᵇḍ-n	hugging hüten حُضْن‎ (ḥuḍn, “hiding place of the hyena”)
ح ط م	ḥ-th-m	chasm:cut
ح ظ و	h-ᵈẓ-ov	hiss:shoot حِظْوَة‎ ḥiẓwa, “arrow
ح ظ ي	h-ᵈẓ-y	ح ظ و‎ (ḥ ẓ w).
ح ف ر	h-ph-r	hebe,grabe-
ح ف ش	h-f-š	hieve,fetch
ح ف ظ	h-f-ᵈẓ	Hof:haven:guards
ح ق ب	h-q-b	hold…
ح ق د	h-q-d	hate
ح ق ق	h-q-q	ḥaqqa <> ESSE “truth, being” <<<
ح ك م	h-k-m	command com.ant
ح ل ب	h-ł-b	kalb-lab:milk
ح ل م	h-ł-m	calm:golem:dream <> puberty
ح ل و	h-ł-ov	kohl:pastries
ح ل ي	h-ł-y	hail:hall:collier:ornament
ح م د	h-m-d	comet:commit:praise 𓎛 𓎿 𓏏 𓏮 𓀁 #ḥmt 𓆎 ח־מ־ד‎  
ح م ر	h-m-r	chrome:crimson:red  <> copper
ح م ض	h-m-ᵇḍ	{sour}
ح م ق	h-m-q	{angry,stupid,insane}≠cramp
ح م ل	h-m-ł	camel:pregnant ;)
ح م ي	h-m-y	charm:hot => heim,chamber:protection
ح ن ف	h-n-ph	hanf:bend << <> angh:angle,Hänkel
ح ن ك	h-n-k	{palate,wise}
ح و ذ	h-ov-dh	hott:drive,quickly
ح و ر	h-ov-r	convert  ח־ו־ר‎, ܚ-ܘ-ܪ‎ (ḥ-w-r), Ge'ez ሐ ወ ረ (ḥ-w-r), Old South Arabian 𐩢𐩥𐩧‎ (ḥwr). 
ح و ز	h-ov-z	have,herds:obtain
ح و ط	h-ov-th	hut:guard
ح و ك	h-ov-k	häkel حَاكَ‎ ḥāka:weave <>  hook
ح و ل	h-ov-ł	overhaul
ح و ي	h-ov-y	hieve?
ح ي و	h-y-ov	"haya™ ""life"""
		 
خ	ḵ	 
خ ب ء	ḵ-b-ʾ	cover,conceal
خ ب ب	ḵ-b-b	??
خ ب ر	ḵ-b-r	Geborgen,capable,scribe,inquire --
خ ب ز	ḵ-b-z	Gebäck
خ ت م	ḵ-ᵇt-m	Kette 𓐍 𓏏 𓋩 خَاتَم ḵātam “seal” => end 𓇥
خ ت ن	ḵ-ᵇt-n	cut خَتَنَ‎ ḵatana circumcision
خ ث ث	ḵ-ṯ-ṯ	gather
		 
خ	ḵ	 
خ ج ل	ḵ-ʒ-ł	geil:shame
خ د ر	ḵ-d-r	cut:hide,occult <> Gatter
خ د ع	ḵ-d-æ	cut:deceive
خ ذ ل	ḵ-dh-ł	cut:abandon
خ ر ب	ḵ-r-b	cripple:ruin 𓄿 𓈎 𓏲 𓅪 𓏥 
خ ر ج	ḵ-r-ʒ	courir PIE *ḱers  2. krass
خ ر ط	ḵ-r-th	kreis:scratch:turnery
خ ر ف	ḵ-r-ph	grab:harvest gero corrupt
خ ر ق	ḵ-r-q	kork:𓆫 {pierce}
خ س ر	ḵ-s-r	curse:loss 𓈎 𓂋 𓋴 𓌟 𓊭  خَسْرَان‎ koser=loser
خ س ف	ḵ-s-ph	geschiff:sink
خ ش ب	ḵ-š-b	𒄑 GIŠ > ge-aspe
خ ش ن	ḵ-š-n	coarseness
خ ص ص	ḵ-s-s	kasse:cash:favor cache
خ ض ب	ḵ-ᵇḍ-b	{color,dye}
خ ض ل	ḵ-ᵇḍ-ł	aqua:quaddel
خ ط ب	ḵ-th-b	𓏛 𓏏 𓏤 kitab => godspell, speech
خ ط ر	ḵ-th-r	^^ zöger
خ ط ط	ḵ-th-th	cut:carve
خ ط ف	ḵ-th-ph	cut:seize,rape,snatch
خ ط م	ḵ-th-m	gurt
خ ف ت	ḵ-ph-ᵇt	ge-fate growing faint die-out <<
خ ف ف	ḵ-ph-ph	Gewitter:lightening
خ ف ي	ḵ-ph-y	cover:inconspicuous
خ ل ب	ḵ-ł-b	claw! … chelate clutch scratch
خ ل خ ل	ḵ-ł-ḵ-ł	¬grip <> a خ ل ل‎ ḵ-l-l Kuhle خَلْخَال‎ ḵalḵāl, “anklet”
خ ل د	ḵ-ł-d	𓎟t cult eternity
خ ل ص	ḵ-ł-s	clears
خ ل ط	ḵ-ł-th	kelter,clutter:mix
خ ل ف	ḵ-ł-ph	half:{change}
خ ل ق	ḵ-ł-q	create
خ ل ل	ḵ-ł-ł	Kuhle:hole keil:caulk …cul:lack…
خ م ر	ḵ-m-r	1. Kammer 2. {sour,ferment}
خ م ص	ḵ-m-s	Kammer,kaum,krumms:hollow,shrunk
خ م ع	ḵ-m-æ	krumm:cramp:limp
خ م ل	ḵ-m-ł	com:sammel:dense
خ ن س	ḵ-n-s	keines 𓂜 recede
خ و ض	ḵ-w-ḍ	gewaḍe:geh:wade
خ و ف	ḵ-w-f	Gefahr:fear
خ و ن	ḵ-ov-n	kohn 𓂜  betray
خ و ي	ḵ-ov-y	keiⁿ,kauᵐ 𓂜 kohl : empty(stomach)  غ و ي‎ (ḡ-w-y), especially as in غ و ر‎ (ḡ-w-r) or غ و ص‎ (ḡ-w-ṣ), or of ه و ي‎ (h-w-y). 
خ ي ر	ḵ-y-r	kyrie:great,good
خ ي ط	ḵ-y-th	cut:kit:sew
		 
د	d	 
د ب ر	d-b-r	down:rear  *dâb ≠ top <<<
د ب ق	d-b-q	{sticky}  ד־ב־ק‎ (d-b-q) / ܕ-ܒ-ܩ‎ (d-b-q)
د ح ض	d-h-ᵇḍ	des¬…𓂜
د ح و	d-h-ov	teil:spread
د خ ل	d-ḵ-ł	dackel:enter --
د خ ن	d-ḵ-n	dunkel-decken:smoke
د ر ب	d-r-b	Trab:drill,train دَرْب‎ darb, “path” Δέρβη  
د ر ج	d-r-ʒ	direction:step
د ر ر	d-r-r	𓆓 𓆑 𓏳 𓏥 | abundance 𓂧 𓆑 𓄿 𓆛 𓏥 𓅤 𓏜 
د ر س	d-r-s	dresch!  2.  thresh=>crush 3. study  דָּרַשׁ‎ dāráś <> د ر ي • (d-r-y) 
د ر ك	d-r-k	drag:grasp@track
د ر ي	d-r-y	√truth know(ledge) <> dresch! 
د س ر	d-s-r	dash:thrust,dowel,peg
د س س	d-s-s	dash:thrust,shove,drill,… …
د س م	d-s-m	<> 𓂧 𓆑 𓄿 𓆛 Dorsch:fat
د ف ع	d-ph-æ	drive push,pull
د ف ن	d-ph-n	dafīn:final:find:(treasure)burial
د ق ع	d-q-æ	dug:soil
د ل و	d-ł-ov	dangle, droop <> 𒁕𒇻𒌑 dalû דָּלָה‎ dālā draw water
د م د م	d-m-d-m	drama:mutter
د م ر	d-m-r	damnar:destruct  دَمَّرَ‎ dammara ደመሰ dämäsä <>
د م س	d-m-s	dim,dumb,demons:dark  ድሙስ (dəmus), ደሙስ (dämus 𒁕𒈠𒋳 da-ma-šum  ደመሰ (dämmäsä, “to bury, to cover, to hide”)
د م ل	d-m-ł	tumul:dämel:dung 2. de¬mal heal
د م ن	d-m-n	dung @ 𓏠 𓈖 𓃒
د ه ش	d-ι-š	dash:amaze <
د ه م	d-ι-m	su-dim : sudden denigration
د ه ن	d-ι-n	(s)tain anoint
د و ر	d-ov-r	√tour circling  دَائِرَة‎ dāʾira “circle” … … … <<<<
د و س	d-ov-s	dash:trample
د و ل	d-ov-ł	dual:alternate 𓈋 
د و ي	d-ov-y	tue…  {buzz} <> 𓏏𓆤 debora drone
د ي ث	d-y-ᵖṯ	dit,datum:tame <> Diener
د ي ر	d-y-r	door:cloister
		 
ذ	dh	 
ذ خ ر	dh-ḵ-r	ⲑⲏⲥⲁⲩⲣⲟⲥ deck:guard:store…  Theke <> 𓈙 𓏏 𓍔 steck 𓍁 
ذ ر ر	dh-r-r	draw water  ذ ر و‎ (ḏ-r-w) and ذ ر ي‎ (ḏ-r-y
ذ ر ع	dh-r-æ	dreh/stretch(arm) 𓂧𓂞 dar ذِرَاع ḏirāʿ  arm, lever
ذ ر ق	dh-r-q	dreck:dung
ذ ر و	dh-r-ov	dry:ventilate 2. draw:winnow
ذ ر ي	dh-r-y	dry:ventilate 2. drag:winnow
ذ ك ر	dh-k-r	Dicker:man denker:remember talk ז־כ־ר‎ z-k-r secure
ذ ه ب	dh-ι-b	1.trieb,drive 2. 𓋟 gold !? <<
ذ ه ل	dh-ι-ł	dull 𓂜 daze, neglect
ذ و د	dh-ov-d	dead:drive-away
		 
ر	r	 
ر ء س	r-ʾ-s	"Ratio Rüssel reason רֹאשׁ‎ rōš ""head"""
ر ء ي	r-ʾ-y	ray:see iri رَأَى‎ raʾā 𓁹 𓂋 𓄿
ر ب ب	r-b-b	rabbi:master rebe:rise:grow
ر ب ح	r-b-h	rebe:rapture:raub:gain, profit, success, victory
ر ب د	r-b-d	à-butt 𓃭 {sit}
ر ب ض	r-b-ᵇḍ	rope:tie 2. 𓃭 row'd speckled with black
ر ب ط	r-b-th	rope:tie
ر ت ب	r-ᵇt-b	root:fix ऋत ṛta:order!
ر ج ح	r-ʒ-h	rec-{weigh…}?  ®ważyć
ر ج ح ن	r-ʒ-h-n	{weigh…}?  <> կշռեմ kšṙem
ر ج س	r-ʒ-s	rags:dirt
ر ج ع	r-ʒ-æ	𓂻 رَجَعَ rajaʿa rejourn return!
ر ج ف	r-ʒ-ph	Raschel:quake
ر ج م	r-ʒ-m	rock': “to stone; to curse”
ر ح ض	r-h-ᵇḍ	𓂋 𓐍 𓏏 𓂝 רָחַץ rakháts <> rags reinigen
ر ح ل	r-h-ł	ralley:leave
ر ح م	r-h-m	remercy
ر خ ص	r-ḵ-s	rags:cheap soft?
ر خ م	r-ḵ-m	^^soft:gentle <> ر ف ق r-ph-q ≠ rough! ruò 弱 ¬raw róu 柔
ر خ و	r-ḵ-ov	rags:relax,lose
ر د د	r-d-d	redo,return,repeat,reply
ر د ف	r-d-ph	rück {after/behind} <<
ر د ي	r-d-y	"𓍯 rot:hang <> ر ب ض	r-b-ᵇḍ	rope(d):tie"
ر ذ ذ	r-dh-dh	raḏḏa, “to drizzle”
ر ز ق	r-z-q	rise:support
ر س ب	r-s-b	resubside
ر س خ	r-s-ḵ	<> rec:fix
ر س ل	r-s-ł	resell:send
ر س م	r-s-m	{paint}
ر س و	r-s-ov	rec:fix  ر س خ‎ (r-s-ḵ), Ge'ez ረ ሰ የ (r-s-y), ረ ሰ ወ (r-s-w). 
ر ص ف	r-s-ph	rec:fix,stick,rise,erect,…@ground
ر ع ب	r-æ-b	rob:terror
ر ف ع	r-ƒ-æ	rauf:raise
ر ف ق	r-ph-q	"rags:gentle ^^ ر خ م	r-ḵ-m ≠ rough! ruò 弱 ¬raw róu 柔"
ر ق ب	r-q-b	rekeep:guard
ر ق ص	r-q-s	rocks:dance
ر ق ع	r-q-æ	rags:patch => rough:stupid
ر ق ي	r-q-y	rec:rise
ر ك ز	r-k-z	rec:fix,stick,erect,…@ground
ر ك س	r-k-s	"rücks- reverse +  أَرْكَسَ‎ ʾarkasa “to cast back"""
ر ك ك	r-k-k	¬rough:weak ruò 弱 ¬raw róu 柔
ر م ح	r-m-h	ram ramme- “to thrust, to pierce” @ ram
ر م ي	r-m-y	ram:thrust:shoot ^^
ر ه ق	r-ι-q	Rauch:cover
ر ه ل	r-ι-ł	<> roll?
ر و ج	r-ov-dʒ	around …
ر و ض	r-o-ḍ	رَاضَ rāḍa rede:train
ر و ع	r-ov-æ	  <> raw: bad رَاعَ‎ rāʿa, “to awe
ر و ق	r-ov-q	𓇳 ray(que) glisten,eminent,… … …
ر ي ن	r-y-n	ruin!
		 
ز	z	 
ز ء م	z-ʾ-m	<> severe?
ز ب ب	z-b-b	Zopf  زَبَّ‎ zabba, “to be abundant in hair” zuppelig أَزَبّ‎ (ʾazabb, “downy, hairy”) زُبّ‎ (zubb, “penis”)
ز ب ر	z-b-r	scribe زَبَّرَ‎ zabbara, “to write ++
ز ج ج	z-ʒ-ʒ	ject
ز ج ر	z-ʒ-r	check, chide, cry, restrain
ز ح ف	z-h-ph	{creep}
ز ر د	z-r-d	{choke}
ز ر ع	z-r-æ	zart:sart:sow
ز ر ق	z-r-q	azure.ig blue  shining
ز ع ل	z-ʿ-ł	be surly
ز ل ط	z-ł-th	swallowed
ز ل ف	z-ł-ph	
ز ل ق	z-ł-q	
ز ل ل	z-ł-ł	
ز ل م	z-ł-m	
ز م م	z-m-m	
ز م ن	z-m-n	
ز ه ر	z-ι-r	
ز و ج	z-ov-ʒ	
ز ي غ	z-y-ḡʳ	
ز ي ف	z-y-ph	
ز ي ن	z-y-n	
ز ي ي	z-y-y	
	
س	s
س ء ل	s-ʾ-ł	
س ب ب	s-b-b	
س ب ح	s-b-h	
س ب ط	s-b-th	
س ب ي	s-b-y	
س ت ر	s-ᵇt-r	
س ج د	s-ʒ-d	
س ج ن	s-ʒ-n	
س ح ب	s-h-b	
س ح ر	s-h-r	
س ح ق	s-h-q	
س خ ب	s-ḵ-b	
س خ ط	s-ḵ-th	
س د د	s-d-d	
س ر ب	s-r-b	
س ر ع	s-r-æ	
س ط م	s-th-m	
س ع د	s-æ-d	
س ع ف	s-æ-ph	
س ف د	s-ph-d	
س ف ر	s-ph-r	
س ف ن	s-ph-n	
س ق ط	s-q-th	
س ق ف	s-q-ph	
س ك ك	s-k-k	
س ك ن	s-k-n	
س ل ب	s-ł-b	
س ل ح	s-ł-h	
س ل خ	s-ł-ḵ	
س ل س ل	s-ł-s-ł	
س ل ط	s-ł-th	
س ل ف	s-ł-ph	
س ل ل	s-ł-ł	
س ل م	s-ł-m	
س م ج	s-m-ʒ	
س م ح	s-m-h	
س م د	s-m-d	
س م ع	s-m-æ	
س م و	s-m-ov	
س ن و	s-n-ov	
س و ء	s-ov-ʾ	
س و س	s-ov-s	
س و م	s-ov-m	
س و ي	s-ov-y	
س ي س	s-y-s	
س ي ل	s-y-ł	
	
ش	š
ش ب ب	š-b-b	
ش ب ه	š-b-ι	
ش ت و	š-ᵇt-ov	
ش ج ب	š-ʒ-b	
ش ج ر	š-ʒ-r	
ش ج ع	š-ʒ-æ	
ش ح ذ	š-h-dh	
ش ح ر	š-h-r	
ش ح ط	š-h-th	
ش ح م	š-h-m	
ش ح و ر	š-h-ov-r	
ش خ ب ط	š-ḵ-b-th	
ش خ ص	š-ḵ-s	
ش د ق	š-d-q	
ش ر ب	š-r-b	
ش ر ج	š-r-ʒ	
ش ر س	š-r-s	
ش ر ش ر	š-r-š-r	
ش ر ع	š-r-æ	
ش ر ف	š-r-ph	
ش ر ك	š-r-k	
ش ر ي	š-r-y	
ش ع ب	š-æ-b	
ش ع ر	š-æ-r	
ش ع ع	š-æ-æ	
ش ع ل	š-æ-ł	
ش غ ر	š-ḡʳ-r	
ش غ ف	š-ḡʳ-ph	
ش غ ل	š-ḡʳ-ł	
ش ف ه	š-ph-ι	
ش ف و	š-ph-ov	
ش ف ي	š-ph-y	
ش ق ق	š-q-q	
ش ك ر	š-k-r	
ش ك ل	š-k-ł	
ش ك م	š-k-m	
ش ل ل	š-ł-ł	
ش م ر	š-m-r	
ش م ل	š-m-ł	
ش ن ق	š-n-q	
ش ه د	š-ι-d	
ش ه ر	š-ι-r	
ش ه ل	š-ι-ł	
ش ه م	š-ι-m	
ش و ب	š-ov-b	
ش و ل	š-ov-ł	
ش ي ط	š-y-th	
ش ي ع	š-y-æ	
ش ي م	š-y-m	
	
ص	s
ص ء ب	s-ʾ-b	
ص ء ص ء	s-ʾ-s-ʾ	
ص ء ك	s-ʾ-k	
ص ء ل	s-ʾ-ł	
ص ء م	s-ʾ-m	
ص ء ي	s-ʾ-y	
ص ب ب	s-b-b	
ص ب ح	s-b-h	
ص ب ر	s-b-r	
ص ب ص ب	s-b-s-b	
ص ح ح	s-h-h	
ص ح ر	s-h-r	
ص ح ف	s-h-ph	
ص ح م	s-h-m	
ص ح ن	s-h-n	
ص ح و	s-h-ov	
ص خ ب	s-ḵ-b	
ص خ د	s-ḵ-d	
ص خ ر	s-ḵ-r	
ص د ء	s-d-ʾ	
ص د د	s-d-d	
ص د ر	s-d-r	
ص د ع	s-d-æ	
ص د ق	s-d-q	
ص غ ر	s-ḡʳ-r	
ص غ و	s-ḡʳ-ov	
ص ف ر	s-ph-r	
ص ف و	s-ph-ov	
ص ق ع	s-q-æ	
ص ق ل	s-q-ł	
ص ل ب	s-ł-b	
ص ل ح	s-ł-h	
ص م م	s-m-m	
ص ن ع	s-n-æ	
ص ن ن	s-n-n	
ص ه ب	s-ι-b	
ص ه ر	s-ι-r	
ص ه و	s-ι-ov	
ص و ت	s-ov-ᵇt	
ص و غ	s-ov-ḡʳ	
ص و ل	s-ov-ł	
ص و م	s-ov-m	
ص ي د	s-y-d	
	
ض	ᵇḍ
ض ب ب	ᵇḍ-b-b	
ض ح ك	ᵇḍ-h-k	
ض ح و	ᵇḍ-h-ov	
ض ر ب	ᵇḍ-r-b	
ض ر ر	ᵇḍ-r-r	
ض ر م	ᵇḍ-r-m	
ض ر و	ᵇḍ-r-ov	
ض ع ف	ᵇḍ-æ-ph	
ض م د	ᵇḍ-m-d	
ض م ر	ᵇḍ-m-r	
ض م ن	ᵇḍ-m-n	
ض ه د	ᵇḍ-ι-d	
ض و ن	ᵇḍ-ov-n	
ض و ي	ᵇḍ-ov-y	
	
ط	th
ط ب ب	th-b-b	
ط ب خ	th-b-ḵ	
ط ب ق	th-b-q	
ط ح ر	th-h-r	
ط ح ن	th-h-n	
ط ر ء	th-r-ʾ	
ط ر ح	th-r-h	
ط ر ف	th-r-ph	
ط ر ق	th-r-q	
ط ر و	th-r-ov	
ط ر ي	th-r-y	
ط ع م	th-æ-m	
ط غ و	th-ḡʳ-ov	
ط غ ي	th-ḡʳ-y	
ط ف ح	th-ph-h	
ط ل س	th-ł-s	
ط ل ي	th-ł-y	
ط م ر	th-m-r	
ط م س	th-m-s	
ط م ي	th-m-y	
ط ه و	th-ι-ov	
ط ه ي	th-ι-y	
ط و ر	th-ov-r	
ط و ع	th-ov-æ	
ط و ف	th-ov-ph	
ط و ق	th-ov-q	
ط و ي	th-ov-y	
ط ي ر	th-y-r	
	
ظ	ᵈẓ
ظ ل م	ᵈẓ-ł-m	
ظ ه ر	ᵈẓ-ι-r	
	
ع	æ
ع ب ء	æ-b-ʾ	
ع ب ب	æ-b-b	
ع ب د	æ-b-d	
ع ب ر	æ-b-r	
ع ب ع ب	æ-b-æ-b	
ع ب ل	æ-b-ł	
ع ب م	æ-b-m	
ع ب ن	æ-b-n	
ع ب ه ل	æ-b-ι-ł	
ع ب و	æ-b-ov	
ع ت ت	æ-ᵇt-ᵇt	
ع ت ر	æ-ᵇt-r	
ع ت ع ت	æ-ᵇt-æ-ᵇt	
ع ت ق	æ-ᵇt-q	
ع ت ك	æ-ᵇt-k	
ع ت ل	æ-ᵇt-ł	
ع ت م	æ-ᵇt-m	
ع ت ن	æ-ᵇt-n	
ع ت و	æ-ᵇt-ov	
ع ث ث	æ-ᵖṯ-ᵖṯ	
ع ث ج	æ-ᵖṯ-ʒ	
ع ث ج ل	æ-ᵖṯ-ʒ-ł	
